metric,value
schedule_id,SCHEDULE-EXAMPLE-DISRUPTED-CP-SAT-REPLAN-20260715T060000Z
schedule_status,FEASIBLE
total_active_requests,21
requests_with_entries,19
fully_satisfied_requests,19
partially_satisfied_requests,0
unassigned_requests,2
mandatory_requests,5
mandatory_satisfied_requests,5
satisfaction_ratio,0.904762
mandatory_satisfaction_ratio,1.0
total_acquisitions,23
sar_acquisitions,13
optical_acquisitions,10
total_duration_s,735.007
total_data_volume_mb,11996.795
objective_value,2122.590962
average_selected_quality,0.698655
average_selected_coverage,0.964865
selected_to_feasible_ratio,0.511111
unassigned_reason_GREEDY_ORDERING,1
unassigned_reason_NO_FEASIBLE_OPPORTUNITY,1
