request_id,request_mode,priority,is_mandatory,fulfillment_status,scheduled_entry_count,scheduled_sensor_types,feasible_opportunity_count,feasible_sar_count,feasible_optical_count,reason_codes
REQ-SAR-001,SINGLE,10,True,FULLY_SATISFIED,1,SAR,2,2,0,
REQ-SAR-002,SINGLE,8,False,FULLY_SATISFIED,1,SAR,2,2,0,
REQ-SAR-003,SINGLE,7,False,FULLY_SATISFIED,1,SAR,2,2,0,
REQ-SAR-004,SINGLE,6,False,FULLY_SATISFIED,1,SAR,3,3,0,
REQ-SAR-005,SINGLE,5,False,FULLY_SATISFIED,1,SAR,5,5,0,
REQ-SAR-006,SINGLE,7,False,FULLY_SATISFIED,1,SAR,2,2,0,
REQ-SAR-007,SINGLE,9,False,FULLY_SATISFIED,1,SAR,4,4,0,
REQ-SAR-008,SINGLE,8,False,FULLY_SATISFIED,1,SAR,3,3,0,
REQ-EO-001,SINGLE,10,True,FULLY_SATISFIED,1,OPTICAL,2,0,2,
REQ-EO-002,SINGLE,8,False,UNASSIGNED,0,,1,0,1,GREEDY_ORDERING
REQ-EO-003,SINGLE,7,False,UNASSIGNED,0,,0,0,0,NO_FEASIBLE_OPPORTUNITY
REQ-EO-004,SINGLE,6,False,FULLY_SATISFIED,1,OPTICAL,1,0,1,
REQ-EO-005,SINGLE,5,False,FULLY_SATISFIED,1,OPTICAL,2,0,2,
REQ-EO-006,SINGLE,7,False,FULLY_SATISFIED,1,OPTICAL,1,0,1,
REQ-EO-007,SINGLE,8,False,FULLY_SATISFIED,1,OPTICAL,3,0,3,
REQ-EO-008,SINGLE,9,False,FULLY_SATISFIED,1,OPTICAL,1,0,1,
REQ-DUAL-OPT-001,DUAL_OPTIONAL,9,False,FULLY_SATISFIED,2,OPTICAL|SAR,3,1,2,
REQ-DUAL-OPT-002,DUAL_OPTIONAL,8,False,FULLY_SATISFIED,2,OPTICAL|SAR,2,1,1,
REQ-DUAL-REQ-001,DUAL_REQUIRED,10,True,FULLY_SATISFIED,2,OPTICAL|SAR,2,1,1,
REQ-DUAL-REQ-002,DUAL_REQUIRED,10,True,FULLY_SATISFIED,2,OPTICAL|SAR,3,1,2,
REQ-URGENT-001,SINGLE,10,True,FULLY_SATISFIED,1,SAR,1,1,0,
