metric,value
plan_id,DISRUPTION-EXAMPLE-20260715T060000Z
occurred_at_utc,2026-07-15T06:00:00+00:00
frozen_until_utc,2026-07-15T08:00:00+00:00
outage_satellites,EO-01
outage_invalidated_opportunities,12
weather_invalidated_opportunities,1
added_urgent_requests,1
added_urgent_opportunities,1
invalidated_previous_selections,5
unchanged_future_acquisitions,7
added_future_acquisitions,5
removed_future_acquisitions,6
previous_objective_value,2077.320613
new_objective_value,2122.590962
objective_delta,45.270349
fully_satisfied_requests,19
unassigned_requests,2
mandatory_satisfied_requests,5
