entry_id,opportunity_id,request_id,satellite_id,sensor_type,mode_id,start_utc,end_utc,duration_s,estimated_data_volume_mb,objective_contribution,quality_score,coverage_ratio,cloud_cover,incidence_angle_deg,off_nadir_angle_deg
ENTRY-SAR-0006,OPP-SAR-0006,REQ-SAR-001,SAR-02,SAR,MODE-SAR-HR,2026-07-15T03:17:15.406301+00:00,2026-07-15T03:17:42.073301+00:00,26.667,666.675,204.166666,0.722222,1.0,,30.0,25.0
ENTRY-EO-0186,OPP-EO-0186,REQ-DUAL-REQ-001,EO-01,OPTICAL,MODE-OPT-PAN,2026-07-15T03:46:11.224142+00:00,2026-07-15T03:46:25.391142+00:00,14.167,255.006,104.465,0.855,0.95,0.1,,0.0
ENTRY-SAR-0181,OPP-SAR-0181,REQ-DUAL-REQ-001,SAR-03,SAR,MODE-SAR-STRIP,2026-07-15T03:48:56.611541+00:00,2026-07-15T03:49:33.278541+00:00,36.667,660.006,103.649582,0.583194,0.95,,30.0,25.0
ENTRY-SAR-0191,OPP-SAR-0191,REQ-DUAL-REQ-002,SAR-04,SAR,MODE-SAR-STRIP,2026-07-15T03:54:29.968458+00:00,2026-07-15T03:55:06.635458+00:00,36.667,660.006,103.649582,0.583194,0.95,,30.0,25.0
ENTRY-EO-0196,OPP-EO-0196,REQ-DUAL-REQ-002,EO-02,OPTICAL,MODE-OPT-PAN,2026-07-15T03:56:19.574764+00:00,2026-07-15T03:56:33.741764+00:00,14.167,255.006,104.465,0.855,0.95,0.1,,0.0
ENTRY-SAR-0016,OPP-SAR-0016,REQ-SAR-002,SAR-03,SAR,MODE-SAR-STRIP,2026-07-15T04:46:32.842713+00:00,2026-07-15T04:47:09.509713+00:00,36.667,660.006,83.841667,0.613889,1.0,,30.0,25.0
ENTRY-SAR-0026,OPP-SAR-0026,REQ-SAR-003,SAR-04,SAR,MODE-SAR-STRIP,2026-07-15T06:16:46.904360+00:00,2026-07-15T06:17:23.571360+00:00,36.667,660.006,73.841667,0.613889,1.0,,30.0,25.0
ENTRY-EO-0176,OPP-EO-0176,REQ-DUAL-OPT-002,EO-02,OPTICAL,MODE-OPT-MS,2026-07-15T06:56:03.878611+00:00,2026-07-15T06:56:18.045611+00:00,14.167,340.008,84.08025,0.72675,0.95,0.1,,0.0
ENTRY-SAR-0171,OPP-SAR-0171,REQ-DUAL-OPT-002,SAR-02,SAR,MODE-SAR-STRIP,2026-07-15T07:02:36.721424+00:00,2026-07-15T07:03:13.388424+00:00,36.667,660.006,8.649582,0.583194,0.95,,30.0,25.0
ENTRY-EO-0166,OPP-EO-0166,REQ-DUAL-OPT-001,EO-01,OPTICAL,MODE-OPT-PAN,2026-07-15T07:26:53.937073+00:00,2026-07-15T07:27:08.104073+00:00,14.167,255.006,94.465,0.855,0.95,0.1,,0.0
ENTRY-SAR-0161,OPP-SAR-0161,REQ-DUAL-OPT-001,SAR-01,SAR,MODE-SAR-STRIP,2026-07-15T07:34:18.961708+00:00,2026-07-15T07:34:55.628708+00:00,36.667,660.006,8.649582,0.583194,0.95,,30.0,25.0
ENTRY-SAR-0037,OPP-SAR-0037,REQ-SAR-004,SAR-02,SAR,MODE-SAR-STRIP,2026-07-15T08:05:01.474745+00:00,2026-07-15T08:05:54.807745+00:00,53.333,959.994,63.718368,0.601856,0.9564,,27.885,23.369
ENTRY-SAR-0046,OPP-SAR-0046,REQ-SAR-005,SAR-02,SAR,MODE-SAR-SCAN,2026-07-15T08:26:04.260721+00:00,2026-07-15T08:26:50.927721+00:00,46.667,466.67,53.340834,0.480278,0.95,,30.0,25.0
ENTRY-EO-0086,OPP-EO-0086,REQ-EO-001,EO-02,OPTICAL,MODE-OPT-PAN,2026-07-15T09:11:14.984305+00:00,2026-07-15T09:11:29.151305+00:00,14.167,255.006,204.7,0.9,1.0,0.1,,0.0
ENTRY-SAR-0056,OPP-SAR-0056,REQ-SAR-006,SAR-03,SAR,MODE-SAR-STRIP,2026-07-15T09:18:52.350451+00:00,2026-07-15T09:19:29.017451+00:00,36.667,660.006,73.841667,0.613889,1.0,,30.0,25.0
ENTRY-EO-0096,OPP-EO-0096,REQ-EO-002,EO-01,OPTICAL,MODE-OPT-PAN,2026-07-15T10:49:03.127564+00:00,2026-07-15T10:49:17.294564+00:00,14.167,255.006,84.7,0.9,1.0,0.1,,0.0
ENTRY-SAR-0066,OPP-SAR-0066,REQ-SAR-007,SAR-04,SAR,MODE-SAR-SCAN,2026-07-15T10:56:45.952229+00:00,2026-07-15T10:57:32.619229+00:00,46.667,466.67,93.340834,0.480278,0.95,,30.0,25.0
ENTRY-EO-0106,OPP-EO-0106,REQ-EO-003,EO-02,OPTICAL,MODE-OPT-PAN,2026-07-15T11:44:31.163609+00:00,2026-07-15T11:44:45.330609+00:00,14.167,255.006,74.7,0.9,1.0,0.1,,0.0
ENTRY-EO-0146,OPP-EO-0146,REQ-EO-007,EO-02,OPTICAL,MODE-OPT-MS,2026-07-15T12:23:11.463778+00:00,2026-07-15T12:23:25.630778+00:00,14.167,340.008,84.08025,0.72675,0.95,0.1,,0.0
ENTRY-EO-0116,OPP-EO-0116,REQ-EO-004,EO-01,OPTICAL,MODE-OPT-MS,2026-07-15T12:53:50.036456+00:00,2026-07-15T12:54:04.203456+00:00,14.167,340.008,64.08025,0.72675,0.95,0.1,,0.0
ENTRY-EO-0156,OPP-EO-0156,REQ-EO-008,EO-01,OPTICAL,MODE-OPT-PAN,2026-07-15T13:18:58.541515+00:00,2026-07-15T13:19:12.708515+00:00,14.167,255.006,94.465,0.855,0.95,0.1,,0.0
ENTRY-SAR-0076,OPP-SAR-0076,REQ-SAR-008,SAR-01,SAR,MODE-SAR-STRIP,2026-07-15T13:23:51.722575+00:00,2026-07-15T13:24:28.389575+00:00,36.667,660.006,83.649582,0.583194,0.95,,30.0,25.0
ENTRY-EO-0126,OPP-EO-0126,REQ-EO-005,EO-02,OPTICAL,MODE-OPT-MS,2026-07-15T13:44:14.446483+00:00,2026-07-15T13:44:28.613483+00:00,14.167,340.008,54.08025,0.72675,0.95,0.1,,0.0
ENTRY-EO-0136,OPP-EO-0136,REQ-EO-006,EO-01,OPTICAL,MODE-OPT-PAN,2026-07-15T14:47:28.058526+00:00,2026-07-15T14:47:42.225526+00:00,14.167,255.006,74.7,0.9,1.0,0.1,,0.0
