entry_id,opportunity_id,request_id,satellite_id,sensor_type,mode_id,start_utc,end_utc,duration_s,estimated_data_volume_mb,objective_contribution,quality_score,coverage_ratio,cloud_cover,incidence_angle_deg,off_nadir_angle_deg
ENTRY-SAR-0011,OPP-SAR-0011,REQ-STRESS-SAR-T01-B,SAR-01,SAR,MODE-SAR-STRIP,2026-07-16T01:00:00+00:00,2026-07-16T01:00:45+00:00,45.0,810.0,94.78,0.94,0.98,,30.0,25.0
ENTRY-SAR-0021,OPP-SAR-0021,REQ-STRESS-SAR-T01-C,SAR-01,SAR,MODE-SAR-STRIP,2026-07-16T01:02:25+00:00,2026-07-16T01:03:10+00:00,45.0,810.0,94.75,0.93,0.98,,30.0,25.0
ENTRY-SAR-0002,OPP-SAR-0002,REQ-STRESS-SAR-T01-A,SAR-02,SAR,MODE-SAR-STRIP,2026-07-16T01:07:40+00:00,2026-07-16T01:08:25+00:00,45.0,810.0,204.168,0.756,0.95,,30.0,25.0
ENTRY-SAR-0368,OPP-SAR-0368,REQ-STRESS-SAR-001,SAR-04,SAR,MODE-SAR-HR,2026-07-16T01:57:09.300000+00:00,2026-07-16T01:57:45.300000+00:00,36.0,900.0,84.59,0.91,0.93,,30.0,25.0
ENTRY-EO-0505,OPP-EO-0505,REQ-STRESS-EO-001,EO-01,OPTICAL,MODE-OPT-PAN,2026-07-16T02:07:52.875000+00:00,2026-07-16T02:08:11.625000+00:00,18.75,337.5,84.67,0.91,0.97,0.12,,0.0
ENTRY-SAR-0641,OPP-SAR-0641,REQ-STRESS-DOPT-001,SAR-01,SAR,MODE-SAR-STRIP,2026-07-16T02:21:30.600000+00:00,2026-07-16T02:22:15.600000+00:00,45.0,810.0,74.515,0.885,0.93,,30.0,25.0
ENTRY-SAR-0440,OPP-SAR-0440,REQ-STRESS-SAR-008,SAR-01,SAR,MODE-SAR-STRIP,2026-07-16T02:24:54.750000+00:00,2026-07-16T02:25:44.750000+00:00,50.0,900.0,74.48,0.86,0.95,,30.0,25.0
ENTRY-SAR-0041,OPP-SAR-0041,REQ-STRESS-SAR-T02-B,SAR-02,SAR,MODE-SAR-STRIP,2026-07-16T02:30:00+00:00,2026-07-16T02:30:45+00:00,45.0,810.0,94.78,0.94,0.98,,30.0,25.0
ENTRY-SAR-0051,OPP-SAR-0051,REQ-STRESS-SAR-T02-C,SAR-02,SAR,MODE-SAR-STRIP,2026-07-16T02:32:25+00:00,2026-07-16T02:33:10+00:00,45.0,810.0,94.75,0.93,0.98,,30.0,25.0
ENTRY-SAR-0032,OPP-SAR-0032,REQ-STRESS-SAR-T02-A,SAR-03,SAR,MODE-SAR-STRIP,2026-07-16T02:37:40+00:00,2026-07-16T02:38:25+00:00,45.0,810.0,204.168,0.756,0.95,,30.0,25.0
