metric,value
schedule_id,SCHEDULE-STRESS-CP-SAT
schedule_status,FEASIBLE
total_active_requests,80
requests_with_entries,54
fully_satisfied_requests,54
partially_satisfied_requests,0
unassigned_requests,26
mandatory_requests,4
mandatory_satisfied_requests,4
satisfaction_ratio,0.675
mandatory_satisfaction_ratio,1.0
total_acquisitions,54
sar_acquisitions,30
optical_acquisitions,24
total_duration_s,1840.75
total_data_volume_mb,33613.5
objective_value,5147.74
average_selected_quality,0.888148
average_selected_coverage,0.961667
selected_to_feasible_ratio,0.0675
unassigned_reason_ACQUISITION_LIMIT,26
unassigned_reason_MEMORY_LIMIT,16
unassigned_reason_TRANSITION_CONFLICT,8
