entry_id,opportunity_id,request_id,satellite_id,sensor_type,mode_id,start_utc,end_utc,duration_s,estimated_data_volume_mb,objective_contribution,quality_score,coverage_ratio,cloud_cover,incidence_angle_deg,off_nadir_angle_deg
ENTRY-SAR-0001,OPP-SAR-0001,REQ-STRESS-SAR-T01-A,SAR-01,SAR,MODE-SAR-STRIP,2026-07-16T01:01:30+00:00,2026-07-16T01:02:15+00:00,45.0,810.0,204.97,0.99,1.0,,30.0,25.0
ENTRY-SAR-0431,OPP-SAR-0431,REQ-STRESS-SAR-008,SAR-04,SAR,MODE-SAR-STRIP,2026-07-16T01:26:54.600000+00:00,2026-07-16T01:27:39.600000+00:00,45.0,810.0,74.59,0.91,0.93,,30.0,25.0
ENTRY-SAR-0368,OPP-SAR-0368,REQ-STRESS-SAR-001,SAR-04,SAR,MODE-SAR-HR,2026-07-16T01:57:09.300000+00:00,2026-07-16T01:57:45.300000+00:00,36.0,900.0,84.59,0.91,0.93,,30.0,25.0
ENTRY-EO-0505,OPP-EO-0505,REQ-STRESS-EO-001,EO-01,OPTICAL,MODE-OPT-PAN,2026-07-16T02:07:52.875000+00:00,2026-07-16T02:08:11.625000+00:00,18.75,337.5,84.67,0.91,0.97,0.12,,0.0
ENTRY-SAR-0641,OPP-SAR-0641,REQ-STRESS-DOPT-001,SAR-01,SAR,MODE-SAR-STRIP,2026-07-16T02:21:30.600000+00:00,2026-07-16T02:22:15.600000+00:00,45.0,810.0,9.515,0.885,0.93,,30.0,25.0
ENTRY-SAR-0031,OPP-SAR-0031,REQ-STRESS-SAR-T02-A,SAR-02,SAR,MODE-SAR-STRIP,2026-07-16T02:31:30+00:00,2026-07-16T02:32:15+00:00,45.0,810.0,204.97,0.99,1.0,,30.0,25.0
ENTRY-EO-0647,OPP-EO-0647,REQ-STRESS-DOPT-001,EO-02,OPTICAL,MODE-OPT-MS,2026-07-16T02:33:14.022500+00:00,2026-07-16T02:33:35.522500+00:00,21.5,516.0,74.61,0.91,0.94,0.09,,0.0
ENTRY-EO-0579,OPP-EO-0579,REQ-STRESS-EO-008,EO-02,OPTICAL,MODE-OPT-MS,2026-07-16T02:48:48+00:00,2026-07-16T02:49:06.750000+00:00,18.75,450.0,74.61,0.91,0.94,0.08,,0.0
ENTRY-SAR-0377,OPP-SAR-0377,REQ-STRESS-SAR-002,SAR-04,SAR,MODE-SAR-STRIP,2026-07-16T03:50:31.950000+00:00,2026-07-16T03:51:26.950000+00:00,55.0,990.0,74.59,0.91,0.93,,30.0,25.0
ENTRY-EO-0514,OPP-EO-0514,REQ-STRESS-EO-002,EO-01,OPTICAL,MODE-OPT-MS,2026-07-16T04:01:21.495000+00:00,2026-07-16T04:01:48.495000+00:00,27.0,648.0,74.67,0.91,0.97,0.11,,0.0
ENTRY-SAR-0061,OPP-SAR-0061,REQ-STRESS-SAR-T03-A,SAR-03,SAR,MODE-SAR-STRIP,2026-07-16T04:01:30+00:00,2026-07-16T04:02:15+00:00,45.0,810.0,204.97,0.99,1.0,,30.0,25.0
ENTRY-SAR-0651,OPP-SAR-0651,REQ-STRESS-DOPT-002,SAR-02,SAR,MODE-SAR-STRIP,2026-07-16T04:21:30.600000+00:00,2026-07-16T04:22:15.600000+00:00,45.0,810.0,9.61,0.91,0.94,,30.0,25.0
ENTRY-EO-0656,OPP-EO-0656,REQ-STRESS-DOPT-002,EO-02,OPTICAL,MODE-OPT-MS,2026-07-16T04:21:33.750000+00:00,2026-07-16T04:21:52.500000+00:00,18.75,450.0,64.61,0.91,0.94,0.08,,0.0
ENTRY-SAR-0450,OPP-SAR-0450,REQ-STRESS-SAR-009,SAR-02,SAR,MODE-SAR-SCAN,2026-07-16T04:24:42.060000+00:00,2026-07-16T04:25:50.060000+00:00,68.0,680.0,64.575,0.885,0.96,,30.0,25.0
ENTRY-SAR-0725,OPP-SAR-0725,REQ-STRESS-DREQ-001,SAR-01,SAR,MODE-SAR-STRIP,2026-07-16T04:30:54.900000+00:00,2026-07-16T04:31:39.900000+00:00,45.0,810.0,34.69,0.91,0.98,,30.0,25.0
ENTRY-EO-0730,OPP-EO-0730,REQ-STRESS-DREQ-001,EO-01,OPTICAL,MODE-OPT-MS,2026-07-16T04:31:04.875000+00:00,2026-07-16T04:31:23.625000+00:00,18.75,450.0,34.69,0.91,0.98,0.12,,0.0
ENTRY-EO-0588,OPP-EO-0588,REQ-STRESS-EO-009,EO-02,OPTICAL,MODE-OPT-PAN,2026-07-16T04:42:14.475000+00:00,2026-07-16T04:42:41.475000+00:00,27.0,486.0,64.61,0.91,0.94,0.15,,0.0
ENTRY-SAR-0091,OPP-SAR-0091,REQ-STRESS-SAR-T04-A,SAR-04,SAR,MODE-SAR-STRIP,2026-07-16T05:31:30+00:00,2026-07-16T05:32:15+00:00,45.0,810.0,204.97,0.99,1.0,,30.0,25.0
ENTRY-SAR-0386,OPP-SAR-0386,REQ-STRESS-SAR-003,SAR-04,SAR,MODE-SAR-SCAN,2026-07-16T05:43:59.740000+00:00,2026-07-16T05:45:07.740000+00:00,68.0,680.0,64.59,0.91,0.93,,30.0,25.0
ENTRY-EO-0523,OPP-EO-0523,REQ-STRESS-EO-003,EO-01,OPTICAL,MODE-OPT-PAN,2026-07-16T05:54:53.937500+00:00,2026-07-16T05:55:18.187500+00:00,24.25,436.5,64.67,0.91,0.97,0.1,,0.0
ENTRY-SAR-0734,OPP-SAR-0734,REQ-STRESS-DREQ-002,SAR-01,SAR,MODE-SAR-STRIP,2026-07-16T06:15:17.100000+00:00,2026-07-16T06:16:17.100000+00:00,60.0,1080.0,29.69,0.91,0.98,,30.0,25.0
ENTRY-EO-0739,OPP-EO-0739,REQ-STRESS-DREQ-002,EO-01,OPTICAL,MODE-OPT-MS,2026-07-16T06:15:27.495000+00:00,2026-07-16T06:15:54.495000+00:00,27.0,648.0,29.69,0.91,0.98,0.11,,0.0
ENTRY-SAR-0460,OPP-SAR-0460,REQ-STRESS-SAR-010,SAR-03,SAR,MODE-SAR-HR,2026-07-16T06:25:07.440000+00:00,2026-07-16T06:25:39.440000+00:00,32.0,800.0,54.67,0.91,0.97,,30.0,25.0
ENTRY-EO-0597,OPP-EO-0597,REQ-STRESS-EO-010,EO-02,OPTICAL,MODE-OPT-MS,2026-07-16T06:35:47.632500+00:00,2026-07-16T06:36:11.882500+00:00,24.25,582.0,54.61,0.91,0.94,0.14,,0.0
ENTRY-SAR-0664,OPP-SAR-0664,REQ-STRESS-DOPT-003,SAR-02,SAR,MODE-SAR-STRIP,2026-07-16T06:56:23.100000+00:00,2026-07-16T06:57:23.100000+00:00,60.0,1080.0,54.165,0.735,0.98,,30.0,25.0
ENTRY-SAR-0121,OPP-SAR-0121,REQ-STRESS-SAR-T05-A,SAR-01,SAR,MODE-SAR-STRIP,2026-07-16T07:01:30+00:00,2026-07-16T07:02:15+00:00,45.0,810.0,104.97,0.99,1.0,,30.0,25.0
ENTRY-SAR-0395,OPP-SAR-0395,REQ-STRESS-SAR-004,SAR-04,SAR,MODE-SAR-HR,2026-07-16T07:37:48.600000+00:00,2026-07-16T07:38:18.600000+00:00,30.0,750.0,54.59,0.91,0.93,,30.0,25.0
ENTRY-SAR-0469,OPP-SAR-0469,REQ-STRESS-SAR-011,SAR-03,SAR,MODE-SAR-STRIP,2026-07-16T08:18:31.200000+00:00,2026-07-16T08:19:16.200000+00:00,45.0,810.0,44.67,0.91,0.97,,30.0,25.0
ENTRY-EO-0605,OPP-EO-0605,REQ-STRESS-EO-011,EO-01,OPTICAL,MODE-OPT-PAN,2026-07-16T08:22:52.875000+00:00,2026-07-16T08:23:11.625000+00:00,18.75,337.5,44.515,0.885,0.93,0.12,,0.0
ENTRY-SAR-0151,OPP-SAR-0151,REQ-STRESS-SAR-T06-A,SAR-02,SAR,MODE-SAR-STRIP,2026-07-16T08:31:30+00:00,2026-07-16T08:32:15+00:00,45.0,810.0,104.97,0.99,1.0,,30.0,25.0
ENTRY-SAR-0673,OPP-SAR-0673,REQ-STRESS-DOPT-004,SAR-02,SAR,MODE-SAR-STRIP,2026-07-16T08:44:46.250000+00:00,2026-07-16T08:45:41.250000+00:00,55.0,990.0,44.165,0.735,0.98,,30.0,25.0
ENTRY-SAR-0404,OPP-SAR-0404,REQ-STRESS-SAR-005,SAR-04,SAR,MODE-SAR-STRIP,2026-07-16T09:31:11.100000+00:00,2026-07-16T09:32:11.100000+00:00,60.0,1080.0,44.59,0.91,0.93,,30.0,25.0
ENTRY-EO-0181,OPP-EO-0181,REQ-STRESS-EO-T01-A,EO-01,OPTICAL,MODE-OPT-PAN,2026-07-16T10:00:48.750000+00:00,2026-07-16T10:01:07.500000+00:00,18.75,337.5,104.97,0.99,1.0,0.08,,0.0
ENTRY-SAR-0685,OPP-SAR-0685,REQ-STRESS-DOPT-005,SAR-01,SAR,MODE-SAR-STRIP,2026-07-16T11:08:06.900000+00:00,2026-07-16T11:08:51.900000+00:00,45.0,810.0,9.31,0.81,0.94,,30.0,25.0
ENTRY-EO-0690,OPP-EO-0690,REQ-STRESS-DOPT-005,EO-01,OPTICAL,MODE-OPT-MS,2026-07-16T11:08:16.875000+00:00,2026-07-16T11:08:35.625000+00:00,18.75,450.0,74.31,0.81,0.94,0.12,,0.0
ENTRY-SAR-0761,OPP-SAR-0761,REQ-STRESS-DREQ-005,SAR-01,SAR,MODE-SAR-STRIP,2026-07-16T11:28:42.600000+00:00,2026-07-16T11:29:27.600000+00:00,45.0,810.0,34.69,0.91,0.98,,30.0,25.0
ENTRY-EO-0766,OPP-EO-0766,REQ-STRESS-DREQ-005,EO-01,OPTICAL,MODE-OPT-MS,2026-07-16T11:28:45.750000+00:00,2026-07-16T11:29:04.500000+00:00,18.75,450.0,34.69,0.91,0.98,0.08,,0.0
ENTRY-EO-0211,OPP-EO-0211,REQ-STRESS-EO-T02-A,EO-02,OPTICAL,MODE-OPT-PAN,2026-07-16T11:30:48.750000+00:00,2026-07-16T11:31:07.500000+00:00,18.75,337.5,104.97,0.99,1.0,0.08,,0.0
ENTRY-SAR-0487,OPP-SAR-0487,REQ-STRESS-SAR-013,SAR-03,SAR,MODE-SAR-HR,2026-07-16T12:05:42.660000+00:00,2026-07-16T12:06:16.660000+00:00,34.0,850.0,84.67,0.91,0.97,,30.0,25.0
ENTRY-EO-0624,OPP-EO-0624,REQ-STRESS-EO-013,EO-02,OPTICAL,MODE-OPT-PAN,2026-07-16T12:16:21.495000+00:00,2026-07-16T12:16:48.495000+00:00,27.0,486.0,84.61,0.91,0.94,0.11,,0.0
ENTRY-EO-0241,OPP-EO-0241,REQ-STRESS-EO-T03-A,EO-01,OPTICAL,MODE-OPT-PAN,2026-07-16T13:00:48.750000+00:00,2026-07-16T13:01:07.500000+00:00,18.75,337.5,104.97,0.99,1.0,0.08,,0.0
