metric,value
schedule_id,SCHEDULE-STRESS-GREEDY
schedule_status,FEASIBLE
total_active_requests,80
requests_with_entries,46
fully_satisfied_requests,46
partially_satisfied_requests,0
unassigned_requests,34
mandatory_requests,4
mandatory_satisfied_requests,4
satisfaction_ratio,0.575
mandatory_satisfaction_ratio,1.0
total_acquisitions,54
sar_acquisitions,30
optical_acquisitions,24
total_duration_s,1923.25
total_data_volume_mb,36259.5
objective_value,3940.57
average_selected_quality,0.90463
average_selected_coverage,0.963148
selected_to_feasible_ratio,0.0675
unassigned_reason_ACQUISITION_LIMIT,32
unassigned_reason_MEMORY_LIMIT,22
unassigned_reason_TRANSITION_CONFLICT,25
