request_id,request_mode,priority,is_mandatory,fulfillment_status,scheduled_entry_count,scheduled_sensor_types,feasible_opportunity_count,feasible_sar_count,feasible_optical_count,reason_codes
REQ-STRESS-SAR-T01-A,SINGLE,10,True,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-T01-B,SINGLE,9,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|MEMORY_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T01-C,SINGLE,9,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|MEMORY_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T02-A,SINGLE,10,True,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-T02-B,SINGLE,9,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T02-C,SINGLE,9,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T03-A,SINGLE,10,True,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-T03-B,SINGLE,9,False,UNASSIGNED,0,,10,10,0,MEMORY_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T03-C,SINGLE,9,False,UNASSIGNED,0,,10,10,0,MEMORY_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T04-A,SINGLE,10,True,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-T04-B,SINGLE,9,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T04-C,SINGLE,9,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T05-A,SINGLE,10,False,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-T05-B,SINGLE,9,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|MEMORY_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T05-C,SINGLE,9,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|MEMORY_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T06-A,SINGLE,10,False,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-T06-B,SINGLE,9,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T06-C,SINGLE,9,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-EO-T01-A,SINGLE,10,False,FULLY_SATISFIED,1,OPTICAL,10,0,10,
REQ-STRESS-EO-T01-B,SINGLE,9,False,UNASSIGNED,0,,10,0,10,ACQUISITION_LIMIT|MEMORY_LIMIT|TRANSITION_CONFLICT
